id,created_at,text
861608434667585538,2017-05-08 15:47:13,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel."
861426759862022144,2017-05-08 03:45:18,"Congratulations #MedalOfHonor recipient, Ty Michael Carter! #Hero https://t.co/3rk8ZHQtcc"
861426050873655296,2017-05-08 03:42:29,"RT @SecretaryAcosta: With the economy adding 211,000 jobs in April, the ""Healthcare"" &amp; ""Mining"" segments saw significant increases. Check i…"
861425563528986626,2017-05-08 03:40:33,"RT @Scavino45: .@POTUS @realDonaldTrump walks from #MarineOne to his @WhiteHouse residence this evening. #TeamTrumpBTS
🎥https://t.co/PcNw8h…"
861351744713961473,2017-05-07 22:47:13,RT @realDonaldTrump: Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to w…
860619211441266689,2017-05-05 22:16:24,"Meet Lieutenant Jack Powers, an incredible American war hero who fought in the Battle of the Coral Sea➡️… https://t.co/nhwEJg73Kq"
860518428112592896,2017-05-05 15:35:55,Weekly Address - tune in! #MAGA ➡️ https://t.co/XR4jDGqsm0 https://t.co/7R3buX8L72
860509433067184128,2017-05-05 15:00:10,"RT @foxandfriends: ""Make no mistake, this is a repeal and a replace of Obamacare."" -President Trump https://t.co/JlpreX9eua"
860509311243563008,2017-05-05 14:59:41,RT @foxandfriends: WATCH: @SecPriceMD breaks down the main takeaways of #AHCA https://t.co/fXHtFw694N
860508085126926336,2017-05-05 14:54:49,"#AHCA will help ALL, incl those in IA who will lose coverage if Medica leaves! It's time to fix this broken system!
https://t.co/qHpqEo8WAR"
860383042694676480,2017-05-05 06:37:57,RT @FLOTUS: .@Potus and I celebrated 75th anniversary of Battle of the Coral Sea w/ Australia's Prime Minister Turnbull https://t.co/w0WyYf…
860280359010918401,2017-05-04 23:49:55,Watch live as I give remarks commemorating the 75th anniversary of the Battle of the Coral Sea:… https://t.co/6NJ1uIB70H
860142895571095552,2017-05-04 14:43:41,"RT @WhiteHouse: On #NationalDayofPrayer, watch LIVE as @POTUS signs the Executive Order Promoting Free Speech &amp; Religious Liberty: https://…"
860142794660352000,2017-05-04 14:43:17,RT @WhiteHouse: Religious liberty is enshrined in the First Amendment of our Constitution as a founding principle of our nation. https://t.…
860142661952524288,2017-05-04 14:42:45,"RT @WhiteHouse: During the last 8 years, Americans have been under attack from the federal government for following the tenets of their fai…"
860142565160603648,2017-05-04 14:42:22,"RT @WhiteHouse: On #NationalDayofPrayer, @POTUS is signing the Executive Order on Promoting Free Speech and Religious Liberty. https://t.co…"
859963591226789889,2017-05-04 02:51:12,Thank you @Franklin_Graham. https://t.co/q8I0WUq33B
859963006620491776,2017-05-04 02:48:52,RT @VP: LISTEN as I take the stage at @SBAList's Campaign for Life Gala to reaffirm @POTUS Trump’s promise to fight for life https://t.co/a…
859786181537669120,2017-05-03 15:06:14,"Join me along w/ @VP Pence &amp; @BetsyDeVosED at a school choice event in the Roosevelt Room, here at the @WhiteHouse:… https://t.co/lG8s5rcvHw"
859610784413999111,2017-05-03 03:29:16,RT @VP: Passing through the Rotunda and Statuary Hall and saying hello to visitors is always a fun part of my visit to the Capitol. #MeetTh…
